Model,Lambda,MSE,ABMSE,R2_score
Base-N encoding reference corrected,1.0,0.0419072820798388,0.1685374031182601,0.1672811637897192
Base-N encoding corrected,0.01,0.0465334854569236,0.1777738663959184,0.0753561688712005
Base-N encoding corrected,0.05,0.0465334765257989,0.1777739468629292,0.0753563463371533
Base-N encoding corrected,0.1,0.0465334653724585,0.1777740474202958,0.0753565679596544
Base-N encoding corrected,0.5,0.0465333765657517,0.1777748508978781,0.0753583325937187
Base-N encoding corrected,1.0,0.0465332665955495,0.1777758541037251,0.0753605177571141
Base-N encoding corrected,5.0,0.0465324261544547,0.177783839789863,0.0753772177456517
Base-N encoding corrected,10.0,0.0465314651668905,0.1777937352336801,0.0753963130533496
Base-N encoding corrected,50.0,0.046526449556832,0.1778687911263375,0.0754959757554744
Base-N encoding corrected,100.0,0.0465249491803543,0.1779585944380519,0.075525788992993
Base-N encoding corrected,500.0,0.0465845203053835,0.1785803622490769,0.0743420806863652
Base-N encoding corrected,1000.0,0.0466925293156081,0.1791776833574649,0.0721958871650794
Base-N encoding corrected,5000.0,0.0473769027671724,0.1818208134197546,0.0585970414314392
Base-N encoding reference,1.0,0.0419072820798388,0.1685374031182601,0.1672811637897192
Base-N encoding,0.01,0.0419074843336557,0.1685331436985985,0.1672771449043455
Base-N encoding,0.05,0.0419074759868062,0.1685333162181699,0.1672773107604545
Base-N encoding,0.1,0.0419074655743148,0.1685335318128471,0.1672775176619123
Base-N encoding,0.5,0.0419073831095429,0.1685352543946439,0.1672791562785313
Base-N encoding,1.0,0.0419072820798338,0.1685374031183061,0.1672811637898185
Base-N encoding,5.0,0.041906549282434,0.1685545333671793,0.1672957248438322
Base-N encoding,10.0,0.0419057970478603,0.1685757429751423,0.1673106721242963
Base-N encoding,50.0,0.0419042484758576,0.1687413946217691,0.16734144303121
Base-N encoding,100.0,0.0419105518950023,0.1689451280176317,0.1672161909128715
Base-N encoding,500.0,0.0421270866337943,0.170497532337214,0.1629135364161555
Base-N encoding,1000.0,0.0425275165051365,0.1720645042101581,0.1549567928646968
Base-N encoding,5000.0,0.0449245419248056,0.1780979669892317,0.1073266885303099
Label encoding reference,1.0,0.0488586956506278,0.1842017037279095,0.0291530693059066
Label encoding,0.01,0.0488588675310247,0.1841988380459781,0.0291496539557101
Label encoding,0.05,0.048858860470549,0.1841989540589687,0.0291497942509243
Label encoding,0.1,0.0488588516589423,0.1841990990370242,0.029149969341995
Label encoding,0.5,0.0488587817195259,0.1842002573428927,0.0291513590734814
Label encoding,1.0,0.0488586956506265,0.1842017037279135,0.0291530693059322
Label encoding,5.0,0.0488580562284938,0.1842133080285632,0.0291657749462828
Label encoding,10.0,0.0488573607568846,0.1842277339388477,0.0291795943180068
Label encoding,50.0,0.0488543864486884,0.1843384792965848,0.0292386953223371
Label encoding,100.0,0.0488550019781811,0.1844661630046297,0.029226464440797
Label encoding,500.0,0.0489225062203665,0.185217628083856,0.0278851210941961
Label encoding,1000.0,0.0490211690503085,0.1858072491322441,0.0259246408900657
Label encoding,5000.0,0.0494236955589757,0.1875336068207541,0.0179262360972523
Target encoding reference,1.0,0.0020389844187183,0.0243629343094302,0.959484350978158
Target encoding,0.01,0.0020388409818466,0.0243562042965314,0.9594872011411608
Target encoding,0.05,0.002038846483907,0.0243564755472258,0.9594870918124436
Target encoding,0.1,0.0020388533963978,0.0243568146114746,0.9594869544577648
Target encoding,0.5,0.002038910089117,0.0243595312429839,0.9594858279448342
Target encoding,1.0,0.0020389844187184,0.0243629343094351,0.9594843509781572
Target encoding,5.0,0.00203971400694,0.0243904943019819,0.9594698536921326
Target encoding,10.0,0.0020409473655449,0.0244262609388975,0.959445346234452
Target encoding,50.0,0.002061190504967,0.0247452316334079,0.9590431048419248
Target encoding,100.0,0.00210432411218,0.0251706122870679,0.958186018306665
Target encoding,500.0,0.0026174637182641,0.0281631057733958,0.9479896754663516
Target encoding,1000.0,0.0032584261898495,0.0328751337908418,0.9352534278047594
Target encoding,5000.0,0.0083627155907299,0.0676650435964475,0.833828622409746
Target encoding reference corrected,1.0,0.0020389844187183,0.0243629343094302,0.959484350978158
Target encoding corrected,0.01,0.0136410934315378,0.060528615495648,0.7289445918896588
Target encoding corrected,0.05,0.0136410911907746,0.0605292155846782,0.7289446364147532
Target encoding corrected,0.1,0.0136410884107848,0.0605299660793951,0.7289446916545539
Target encoding corrected,0.5,0.0136410670089925,0.0605359804364207,0.7289451169189641
Target encoding corrected,1.0,0.0136410423500968,0.0605435335888843,0.7289456069036612
Target encoding corrected,5.0,0.0136409284100576,0.0606052441580733,0.7289478709497197
Target encoding corrected,10.0,0.0136409923922659,0.0606860936773089,0.7289465995909632
Target encoding corrected,50.0,0.0136493672311948,0.0614297730979764,0.7287801873165273
Target encoding corrected,100.0,0.013677621058348,0.0624880314025442,0.7282187695175717
Target encoding corrected,500.0,0.0143420761418727,0.0712974168322686,0.7150157118052485
Target encoding corrected,1000.0,0.0156242587861589,0.0809990214210663,0.6895380958308968
Target encoding corrected,5000.0,0.0250900123080883,0.123482783736274,0.5014487980898108
Label encoding reference corrected,1.0,0.04885869565062782,0.18420170372790953,0.029153069305906665
Label encoding corrected,0.01,0.04888380896725111,0.18430445292023548,0.028654055035497117
Label encoding corrected,0.05,0.048883800919833756,0.1843045575332657,0.028654214941739586
Label encoding corrected,0.1,0.04888379087413885,0.1843046883253193,0.02865441455476536
Label encoding corrected,0.5,0.04888371104614832,0.18430573683983903,0.028656000777208646
Label encoding corrected,1.0,0.04888361257870871,0.18430704936943582,0.028657957374908172
