Model,Lambda,MSE,ABMSE,R2_score
Manual scale set,0.01,490.9248031141347,18.47386162742552,0.0245076501569782
Manual scale set,0.1,490.9248051819212,18.473862310977022,0.0245076460481822
Manual scale set,1.0,490.924825864082,18.47386914631653,0.0245076049516852
Manual scale set,10.0,490.9250331148874,18.47393748216404,0.0245071931338795
Manual scale set,100.0,490.9271482026136,18.474619673459124,0.024502990347866
Manual scale set,1000.0,490.95224362488005,18.481364251741667,0.024453124477815
Unscaled reference,1.0,490.92320830443583,18.47409632998162,0.0245108191243044
Unscaled set,0.01,490.9247868155885,18.47386390108573,0.0245076825430118
Unscaled set,0.1,490.9246423084622,18.47388504469684,0.0245079696859618
Unscaled set,1.0,490.92320830442304,18.47409632998103,0.0245108191243298
Unscaled set,10.0,490.9099441486873,18.476198014469272,0.0245371756709236
Unscaled set,100.0,490.8601223039264,18.495838824397968,0.0246361741898638
Unscaled set,1000.0,491.9632417293665,18.606722531175265,0.0224442202416135
Scaled reference,1.0,490.9248258555384,18.473869139226927,0.0245076049686617
Automatic scale set,0.01,490.9248031140506,18.47386162735469,0.0245076501571454
Automatic scale set,0.1,490.92480518106896,18.47386231026811,0.0245076460498755
Automatic scale set,1.0,490.92482585553824,18.473869139226853,0.024507604968662
Automatic scale set,10.0,490.9250330286098,18.473937411295744,0.0245071933053174
Automatic scale set,100.0,490.92714725812,18.47461896709752,0.0245029922246226
Automatic scale set,1000.0,490.9522268037133,18.481357319473467,0.0244531579023219
Scaled skewed reference,1.0,491.0635699397425,18.52267106332225,0.0242319134740204
Automatic scale skewed set,0.01,491.0635407137544,18.52266515238439,0.024231971547533
Automatic scale skewed set,0.1,491.06354337039306,18.52266568975244,0.0242319662686579
Automatic scale skewed set,1.0,491.0635699397419,18.52267106332217,0.0242319134740215
Automatic scale skewed set,10.0,491.06383592933696,18.522724787948743,0.0242313849392775
Automatic scale skewed set,100.0,491.06652529197,18.523261186802184,0.0242260410400535
Automatic scale skewed set,1000.0,491.0962270228789,18.528589259419284,0.0241670222023516
Automatic scale uncorrelated reference,1.0,490.9248258555384,18.473869139226927,0.024507604968661778
Automatic scale uncorrelated,0.01,491.1371879746312,18.48161414640133,0.02408563072483172
Automatic scale uncorrelated,0.1,491.13719020588485,18.48161482984242,0.024085626291218243
Automatic scale uncorrelated,1.0,491.13721252239714,18.48162166410425,0.024085581947182466
Automatic scale uncorrelated,10.0,491.1374360845814,18.481689991797783,0.02408513771784404
Automatic scale uncorrelated,100.0,491.139711210129,18.4823724861914,0.02408061692860608
Automatic scale uncorrelated,1000.0,491.16621768183444,18.48912631646582,0.024027947232135305
